Year,Title,Abstract
2016,An initial investigation on developing a new method to predict short-term breast cancer risk based on deep learning technology,"In order to establish a new personalized breast cancer screening paradigm, it is critically important to accurately predict the short-term risk of a woman having image-detectable cancer after a negative mammographic screening. In this study, we developed and tested a novel short-term risk assessment model based on deep learning method. During the experiment, a number of 270 “prior” negative screening cases was assembled. In the next sequential (“current”) screening mammography, 135 cases were positive and 135 cases remained negative. These cases were randomly divided into a training set with 200 cases and a testing set with 70 cases. A deep learning based computer-aided diagnosis (CAD) scheme was then developed for the risk assessment, which consists of two modules: adaptive feature identification module and risk prediction module. The adaptive feature identification module is composed of three pairs of convolution-max-pooling layers, which contains 20, 10, and 5 feature maps respectively. The risk prediction module is implemented by a multiple layer perception (MLP) classifier, which produces a risk score to predict the likelihood of the woman developing short-term mammography-detectable cancer. The result shows that the new CAD-based risk model yielded a positive predictive value of 69.2% and a negative predictive value of 74.2%, with a total prediction accuracy of 71.4%. This study demonstrated that applying a new deep learning technology may have significant potential to develop a new short-term risk predicting scheme with improved performance in detecting early abnormal symptom from the negative mammograms."
2015,On-Chip Immunoelectrophoresis of Extracellular Vesicles Released from Human Breast Cancer Cells,"Extracellular vesicles (EVs) including exosomes and microvesicles have attracted considerable attention in the fields of cell biology and medicine. For a better understanding of EVs and further exploration of their applications, the development of analytical methods for biological nanovesicles has been required. In particular, considering the heterogeneity of EVs, methods capable of measuring individual vesicles are desired. Here, we report that on-chip immunoelectrophoresis can provide a useful method for the differential protein expression profiling of individual EVs. Electrophoresis experiments were performed on EVs collected from the culture supernatant of MDA-MB-231 human breast cancer cells using a measurement platform comprising a microcapillary electrophoresis chip and a laser dark-field microimaging system. The zeta potential distribution of EVs that reacted with an anti-human CD63 (exosome and microvesicle marker) antibody showed a marked positive shift as compared with that for the normal immunoglobulin G (IgG) isotype control. Thus, on-chip immunoelectrophoresis could sensitively detect the over-expression of CD63 glycoproteins on EVs. Moreover, to explore the applicability of on-chip immunoelectrophoresis to cancer diagnosis, EVs collected from the blood of a mouse tumor model were analyzed by this method. By comparing the zeta potential distributions of EVs after their immunochemical reaction with normal IgG, and the anti-human CD63 and anti-human CD44 (cancer stem cell marker) antibodies, EVs of tumor origin circulating in blood were differentially detected in the real sample. The result indicates that the present method is potentially applicable to liquid biopsy, a promising approach to the low-invasive diagnosis of cancer."
2018,Gloriosa superba Mediated Synthesis of Platinum and Palladium Nanoparticles for Induction of Apoptosis in Breast Cancer,"Green chemistry approaches for designing therapeutically significant nanomedicine have gained considerable attention in the past decade. Herein, we report for the first time on anticancer potential of phytogenic platinum nanoparticles (PtNPs) and palladium nanoparticles (PdNPs) using a medicinal plant Gloriosa superba tuber extract (GSTE). The synthesis of the nanoparticles was completed within 5 hours at 100°C which was confirmed by development of dark brown and black colour for PtNPs and PdNPs, respectively, along with enhancement of the peak intensity in the UV-visible spectra. High-resolution transmission electron microscopy (HRTEM) showed that the monodispersed spherical nanoparticles were within a size range below 10 nm. Energy dispersive spectra (EDS) confirmed the elemental composition, while dynamic light scattering (DLS) helped to evaluate the hydrodynamic size of the particles. Anticancer activity against MCF-7 (human breast adenocarcinoma) cell lines was evaluated using MTT assay, flow cytometry, and confocal microscopy. PtNPs and PdNPs showed 49.65 ± 1.99% and 36.26 ± 0.91% of anticancer activity. Induction of apoptosis was most predominant in the underlying mechanism which was rationalized by externalization of phosphatidyl serine and membrane blebbing. These findings support the efficiency of phytogenic fabrication of nanoscale platinum and palladium drugs for management and therapy against breast cancer."
2021,Safe and Targeted Sonodynamic Cancer Therapy Using Biocompatible Exosome-Based Nanosonosensitizers.,"Sonodynamic therapy (SDT), wherein sonosensitizers irradiated with ultrasound (US) produce cytotoxic reactive oxygen species (ROS), has garnered great attention as a promising alternative to photodynamic therapy owing to the significantly increased depth of tissue penetration. The development of nanocarriers that can selectively deposit sonosensitizers into tumor tissues without systemic toxicity is crucial to facilitate the translation of SDT to clinical use. In this study, exosomes, a class of naturally occurring nanoparticles, were utilized as nanocarriers for safe and cancer-targeted delivery of a sonosensitizer, indocyanine green (ICG). The exosomes were surface-engineered with an active cancer-targeting ligand, folic acid (FA), to increase the cancer specificity of the ICG-loaded exosomes (ExoICG). The FA-conjugated, ICG-loaded exosomes (FA-ExoICG) greatly improved aqueous stability and cellular uptake of ICG, resulting in significantly increased ROS generation in breast cancer cells. As a result, the FA-ExoICG demonstrated greater sonotoxicity against cancer cells than ExoICG and free ICG. The in vivo study revealed that compared to ExoICG, more FA-ExoICG accumulated in tumors, and their pharmacokinetic properties were superior. Notably, tumor growth in mice was significantly suppressed, without systemic toxicity, by a single intravenous injection of the FA-ExoICG and subsequent US irradiation. Therefore, this study demonstrated that active cancer-targeted FA-ExoICG could serve as effective nanosonosensitizers for safe and targeted cancer treatment."
2017,Concomitant psychiatric symptoms and impaired quality of life in women with cervical cancer: a critical review,"Our aim was to summarize the current relevant literature on concomitant psychiatric symptoms with a focus on anxiety/depression in a population with gynecologic cancer; to identify the predictors, associated factors, and prevention strategies of psychiatric disorders; to examine psychiatric disorders in a population with recurrent gynecologic cancer; and to describe the limitations of the literature and future research areas. Little is known about attending psychiatric disorders in patients with gynecologic and other malignant diseases like cervical or breast cancer. However, patients suffering from other types of gynecologic cancer (eg, genital/cervical cancer) may also have an increased risk of psychiatric symptoms. In this review, we identify the potential information deficits in this field. A two-rater independent literature search was conducted using the PubMed/Google Scholar search engines to systematically evaluate the literature on the research objectives, followed by a critical reflection on the results. Of the 77 screened studies, 15 met the criteria for inclusion in this review. Patients with gynecologic malignancies, especially cervical cancer, had a very high prevalence of psychiatric symptoms including depression (33%–52%). Additionally, the risk groups facing higher rates of concomitant reduced quality of life and increased psychiatric symptoms such as depression were identified. Specifically, low socioeconomic status, sexual inactivity, absence of a partner, and physical symptoms were correlated with an increased risk. Patients suffering from recurrent gynecologic cancer should receive particular attention because of their significantly increased risk of depressive symptoms. Screening programs are needed to detect psychiatric symptoms in cervical cancer patients and the associated high-risk groups. Regular screening should be implemented, and psychosocial care should be provided during follow-up."
2021,Breast Cancer Segmentation Methods: Current Status and Future Potentials,"Early breast cancer detection is one of the most important issues that need to be addressed worldwide as it can help increase the survival rate of patients. Mammograms have been used to detect breast cancer in the early stages; if detected in the early stages, it can drastically reduce treatment costs. The detection of tumours in the breast depends on segmentation techniques. Segmentation plays a significant role in image analysis and includes detection, feature extraction, classification, and treatment. Segmentation helps physicians quantify the volume of tissue in the breast for treatment planning. In this work, we have grouped segmentation methods into three groups: classical segmentation that includes region-, threshold-, and edge-based segmentation; machine learning segmentation; and supervised and unsupervised and deep learning segmentation. The findings of our study revealed that region-based segmentation is frequently used for classical methods, and the most frequently used techniques are region growing. Further, a median filter is a robust tool for removing noise. Moreover, the MIAS database is frequently used in classical segmentation methods. Meanwhile, in machine learning segmentation, unsupervised machine learning methods are more frequently used, and U-Net is frequently used for mammogram image segmentation because it does not require many annotated images compared with other deep learning models. Furthermore, reviewed papers revealed that it is possible to train a deep learning model without performing any preprocessing or postprocessing and also showed that the U-Net model is frequently used for mammogram segmentation. The U-Net model is frequently used because it does not require many annotated images and also because of the presence of high-performance GPU computing, which makes it easy to train networks with more layers. Additionally, we identified mammograms and utilised widely used databases, wherein 3 and 28 are public and private databases, respectively."
2015,Relevance of Machine Learning Approach in Analysing Metabolomic Data to gain insights on Comorbidity issues in COPD & Asthma,"M adaption of tumour cells is necessary to meet biosynthesis and energy needs of a growing cancer. The energy sensing kinase AMPK is responsible for maintaining AMP/ATP ratio, serving as a metabolic checkpoint that is activated when phosphorylated by the LKB1, a tumour suppressor kinase. LKB1 is frequently found mutated in numerous cancers including 31% of HER2 breast cancer. In our LKB1-/-NIC model, loss of LKB1 expression resulted in reduced tumour latency where tumours were biochemically characterized as hyperactive mTOR, along with metabolic changes characteristic of Warburg effect, namely elevated ATP, LDH, PDH expression and enhanced lactate. Based on these finding, we conducted a pre-clinical studies to evaluate novel combinatorial therapies on tumourigenesis. We report that targeting PI3K-p70S6K pathways with competitive NVP-BEZ235 inhibitor was not as effective at reducing tumourigenesis as targeting mTOR and glycolysis with AZD8055 and 2-DG monotherapies, respectively. Interestingly, simultaneous inhibition of these pathways with AZD8055/2-DG combination was significantly more effective at reducing mitochondria function, tumour volume and burden, culminating in reduced tumourigenesis. At the molecular level, combination treatment inhibited both mTOR signalling and blocked MAPK survival signalling that is responsible for ERK-p90RSK pathway engagement. Finally, loss of LKB1 expression in cancers should be considered a marker for metabolic dysfunction given the role LKB1 plays in regulating both AMPK activity and mTOR function. The results of our pre-clinical studies suggest that combinatorial therapy that target mTORC1/ mTORC2 and glycolytic pathways in cancer, is critical for inhibiting tumour growth. Importantly, our discovery showed that the drug combination inhibited the activation of feedback loops that are drivers of resistance, namely ERK and p90RSK. We believe that simultaneous targeting of these pathways will provide the best clinical outcome for the treatment of metabolically active cancers, as well as reduce the likelihood of recurrence."
2021,Preprocessing of Breast Cancer Images to Create Datasets for Deep-CNN,"Breast cancer is the most diagnosed cancer in Australia with crude incidence rates increasing drastically from 62.8 at ages 35–39 to 271.4 at ages 50–54 (cases per 100,000 women). Various researchers have proposed methods and tools based on Machine Learning and Convolutional Neural Networks for assessing mammographic images, but these methods have produced detection and interpretation errors resulting in false-positive and false-negative cases when used in the real world. We believe that this problem can potentially be resolved by implementing effective image pre-processing techniques to create training data for Deep-CNN. Therefore, the main aim of this research is to propose effective image pre-processing methods to create datasets that can save computational time for the neural network and improve accuracy and classification rates. To do so, this research proposes methods for background removal, pectoral muscle removal, adding noise to the images, and image enhancements. Adding noise without affecting the quality of details in the images makes the input images for the neural network more representative, which may improve the performance of the neural network model when used in the real world. The proposed method for background removal is the “Rolling Ball Algorithm” and “Huang’s Fuzzy Thresholding”, which succeed in removing background from 100% of the images. For pectoral muscle removal “Canny Edge Detection” and “Hough’s Line Transform” are used, which removed muscle from 99.06% of the images. “Invert”, “CTI_RAS” and “ISOCONTOUR” lookup tables (LUTs) were used for image enhancements to outline the ROIs and regions within the ROIs."
2020,Quantifying Explainers of Graph Neural Networks in Computational Pathology,"Explainability of deep learning methods is imperative to facilitate their clinical adoption in digital pathology. However, popular deep learning methods and explainability techniques (explainers) based on pixel-wise processing disregard biological entities’ notion, thus complicating comprehension by pathologists. In this work, we address this by adopting biological entity-based graph processing and graph explainers enabling explanations accessible to pathologists. In this context, a major challenge becomes to discern meaningful explainers, particularly in a standardized and quantifiable fashion. To this end, we propose herein a set of novel quantitative metrics based on statistics of class separability using pathologically measurable concepts to characterize graph explainers. We employ the proposed metrics to evaluate three types of graph explainers, namely the layer-wise relevance propagation, gradient-based saliency, and graph pruning approaches, to explain Cell-Graph representations for Breast Cancer Subtyping. The proposed metrics are also applicable in other domains by using domain-specific intuitive concepts. We validate the qualitative and quantitative findings on the BRACS dataset, a large cohort of breast cancer RoIs, by expert pathologists. The code, data, and models can be accessed here 1."
2016,Microscopic medical image classification framework via deep learning and shearlet transform,"Abstract. Cancer is the second leading cause of death in US after cardiovascular disease. Image-based computer-aided diagnosis can assist physicians to efficiently diagnose cancers in early stages. Existing computer-aided algorithms use hand-crafted features such as wavelet coefficients, co-occurrence matrix features, and recently, histogram of shearlet coefficients for classification of cancerous tissues and cells in images. These hand-crafted features often lack generalizability since every cancerous tissue and cell has a specific texture, structure, and shape. An alternative approach is to use convolutional neural networks (CNNs) to learn the most appropriate feature abstractions directly from the data and handle the limitations of hand-crafted features. A framework for breast cancer detection and prostate Gleason grading using CNN trained on images along with the magnitude and phase of shearlet coefficients is presented. Particularly, we apply shearlet transform on images and extract the magnitude and phase of shearlet coefficients. Then we feed shearlet features along with the original images to our CNN consisting of multiple layers of convolution, max pooling, and fully connected layers. Our experiments show that using the magnitude and phase of shearlet coefficients as extra information to the network can improve the accuracy of detection and generalize better compared to the state-of-the-art methods that rely on hand-crafted features. This study expands the application of deep neural networks into the field of medical image analysis, which is a difficult domain considering the limited medical data available for such analysis."
2022,"Artificial Intelligence in Cancer Research: Trends, Challenges and Future Directions","The World Health Organization (WHO), in their 2022 report, identified cancer as one of the leading causes of death, accounting for about 16% of deaths worldwide. The Cancer-Moonshot community aims to reduce the cancer death rate by half in the next 25 years and wants to improve the lives of cancer-affected people. Cancer mortality can be reduced if detected early and treated appropriately. Cancers like breast cancer and cervical cancer have high cure probabilities when treated early in accordance with best practices. Integration of artificial intelligence (AI) into cancer research is currently addressing many of the challenges where medical experts fail to bring cancer to control and cure, and the outcomes are quite encouraging. AI offers many tools and platforms to facilitate more understanding and tackling of this life-threatening disease. AI-based systems can help pathologists in diagnosing cancer more accurately and consistently, reducing the case error rates. Predictive-AI models can estimate the likelihood for a person to get cancer by identifying the risk factors. Big data, together with AI, can enable medical experts to develop customized treatments for cancer patients. The side effects from this kind of customized therapy will be less severe in comparison with the generalized therapies. However, many of these AI tools will remain ineffective in fighting against cancer and saving the lives of millions of patients unless they are accessible and understandable to biologists, oncologists, and other medical cancer researchers. This paper presents the trends, challenges, and future directions of AI in cancer research. We hope that this paper will be of help to both medical experts and technical experts in getting a better understanding of the challenges and research opportunities in cancer diagnosis and treatment."
2021,The Breast Cancer Stem Cells Traits and Drug Resistance,"Drug resistance is a major challenge in breast cancer (BC) treatment at present. Accumulating studies indicate that breast cancer stem cells (BCSCs) are responsible for the BC drugs resistance, causing relapse and metastasis in BC patients. Thus, BCSCs elimination could reverse drug resistance and improve drug efficacy to benefit BC patients. Consequently, mastering the knowledge on the proliferation, resistance mechanisms, and separation of BCSCs in BC therapy is extremely helpful for BCSCs-targeted therapeutic strategies. Herein, we summarize the principal BCSCs surface markers and signaling pathways, and list the BCSCs-related drug resistance mechanisms in chemotherapy (CT), endocrine therapy (ET), and targeted therapy (TT), and display therapeutic strategies for targeting BCSCs to reverse drug resistance in BC. Even more importantly, more attention should be paid to studies on BCSC-targeted strategies to overcome the drug resistant dilemma of clinical therapies in the future."
2021,Bibliometric Analysis of Global Research Trends on Ultrasound Microbubble: A Quickly Developing Field,"Background: Microbubbles are widely used as highly effective contrast agents to improve the diagnostic capability of ultrasound imaging. Mounting evidence suggests that ultrasound coupled with microbubbles has promising therapeutic applications in cancer, cardiovascular, and neurological disorders by acting as gene or drug carriers. The aim of this study was to identify the scientific output and activity related to ultrasound microbubble through bibliometric approaches. Methods: The literature related to ultrasound microbubble published between 1998 and 2019 was identified and selected from the Science Citation Index Expanded of Web of Science Core Collection on February 21, 2021. The Scopus database was also searched to validate the results and provided as supplementary material. Quantitative variables including number of publications and citations, H-index, and journal citation reports were analyzed by using Microsoft Excel 2019 and GraphPad Prism 8.0 software. VOS viewer and CiteSpace V were used to perform coauthorship, citation, co-citation, and co-occurrence analysis for countries/regions, institutions, authors, and keywords. Results: A total of 6088 publications from the WoSCC were included. The United States has made the largest contribution in this field, with the majority of publications (2090, 34.3%), citations (90,741, 46.6%), the highest H-index (138), and close collaborations with China and Canada. The most contributive institution was the University of Toronto. Professors De Jong N and Dayton P A have made great achievements in this field. However, the research cooperation between institutions and authors was relatively weak. All the studies could be divided into four clusters: “ultrasound diagnosis study,” “microbubbles’ characteristics study,” “gene therapy study,” and “drug delivery study.” The average appearing years (AAY) of keywords in the cluster “drug delivery study” was more recent than other clusters. For promising hot spots, “doxorubicin” showed a relatively latest AAY of 2015.49, followed by “nanoparticles” and “breast cancer.” Conclusion: There has been an increasing amount of scientific output on ultrasound microbubble according to the global trends, and the United States is staying ahead in this field. Collaboration between research teams still needs to be strengthened. The focus gradually shifts from “ultrasound diagnosis study” to “drug delivery study.” It is recommended to pay attention to the latest hot spots, such as “doxorubicin,” “nanoparticles,” and “breast cancer.”"
2014,Inhibition of Cancer Cell Migration by Gold Nanorods: Molecular Mechanisms and Implications for Cancer Therapy,"Gold nanorods have received much attention because of their distinct physicochemical properties and promising applications in bioimaging, biosensing, drug delivery, photothermal therapy, and optoelectronic devices. However, little is known regarding their effect on tumor metastasis. In the present investigation, serum protein‐coated gold nanorods (AuNRs) at low concentrations is shown to exhibit no apparent effects on the viability and proliferation of three different metastatic cancer cell lines, that is, MDA‐MB‐231 human breast cancer cells, PC3 human prostate cancer cells, and B16F10 mouse melanoma cells, but effectively inhibit their migration and invasion in vitro. Quantitative proteomics and real‐time PCR array analyses indicate that exposure of cells to AuNRs can down‐regulate the expression of diverse energy generation‐related genes, which accounts for their inhibition of mitochondrial oxidative phosphorylation (OXPHOS) and glycolysis. The impairment of OXPHOS and glycolysis results in a distinctive reduction of ATP production and subsequent inhibition of F‐actin cytoskeletal assembly, which is crucial for the migration and invasion of cancer cells. The inhibitory effect of AuNRs on cancer cell migration is also confirmed in vivo. Taken together, the unique mechanism in inhibiting cancer cell migration by AuNRs might provide a new approach to specific cancer therapeutic treatment."
2017,Home-based multidimensional survivorship programmes for breast cancer survivors.,"BACKGROUND The prognosis and survival rate of women with breast cancer have significantly improved worldwide. Effective home-based multidimensional programmes for breast cancer survivors have gained an ever greater emphasis in survivorship care to maximise women's quality of life for their successful transition to rehabilitation and normal life. It is important to summarise the best available evidence to evaluate the effects of home-based multidimensional survivorship programmes on quality of life in women within 10 years of the completion of surgery or adjuvant cancer therapy for breast cancer, or both. OBJECTIVES To assess the effects of home-based, multidimensional survivorship (HBMS) programmes on maintaining or improving the quality of life in breast cancer survivors. SEARCH METHODS In April 2016 we searched the Cochrane Breast Cancer Specialised Register, CENTRAL, PubMed, Embase, CINAHL Plus, PsycINFO, Web of Science, and the World Health Organization's International Clinical Trials Registry Platform (WHO ICTRP) and ClinicalTrials.gov. We also screened reference lists of all identified studies and contacted study authors. SELECTION CRITERIA Randomised controlled trials (RCTs) and quasi-RCTs assessing the effects of HBMS programmes in maintaining or improving quality of life in women with stages 0 to 3 breast cancer who completed primary cancer treatment (surgery or adjuvant cancer therapy, or both) up to 10 years earlier. We considered studies where the interventions included more than one of the following listed components: educational (such as information provision and self-management advice), physical (such as exercise training and resistance training) and psychological (such as counselling and cognitive therapies), to constitute a multidimensional programme. Interventions had to be allowed to be carried out at home. DATA COLLECTION AND ANALYSIS Two authors independently assessed eligible studies for inclusion, and performed quality assessment and extracted relevant data of the included studies. Quality of life was the primary outcome of the review. MAIN RESULTS We included 22 RCTs and four quasi-RCTs on 2272 participants. We categorised the intervention components into four groups: educational and psychological; educational and physical; physical and psychological; and educational, physical and psychological. Most of the studies used usual care (routine medical follow-up services) as the comparator. A few studies used a lower level or different type of intervention (e.g. stress management or exercise) or attention control as the comparator.We used the Functional Assessment of Cancer Therapy-Breast (FACT B), European Organisation for Research and Treatment of Cancer Quality of Life C30 (EORTC C30), Quality of Life (QoL) Breast Cancer, and SF36 questionnaires to assess quality of life. HBMS programmes may increase breast cancer-specific quality of life and global quality of life immediately after the intervention, as measured by FACT-B and EORTC C30 (FACT-B: mean difference (MD) 4.55, 95% confidence interval (CI) 2.33 to 6.78, 7 studies, 764 participants; EORTC: MD 4.38, 95% CI 0.11 to 8.64, 6 studies; 299 participants; moderate-quality evidence). There was no evidence of a difference in quality of life as measured by QoL-Breast Cancer or SF-36 (QoL-Breast Cancer: MD 0.42, 95% CI -0.02 to 0.85, 2 studies, 111 participants, very low-quality evidence; physical composite score SF36: MD 0.55, 95% CI -3.52 to 4.63, 2 studies, 308 participants, low-quality evidence).We observed a similar pattern at one to three months after the intervention: FACT-B (MD 6.10, 95% CI 2.48 to 9.72, 2 studies, 426 participants), EORTC-C30 (MD 6.32, 95% CI 0.61 to 12.04, 2 studies; 172 participants) and QoL-Breast Cancer (MD 0.45, 95% CI -0.19 to 1.09, 1 study, 61 participants). At four to six months and 12 months, there was no evidence of a difference in quality of life between groups (four to six months: EORTC - MD 0.08, 95% CI -7.28 to 7.44, 2 studies; 117 participants; SF-36 - MD -1.05, 95% CI -5.60 to 3.51, 2 studies, 308 participants; 12 months: EORTC - MD 2.04, 95% CI -9.91 to 13.99, 1 study; 57 participants).Functional status was incorporated into the quality of life subscale findings. HBMS programmes may decrease anxiety (MD of Hospital Anxiety and Depression Scale (HADS) -1.01, 95% CI -1.94 to -0.08, 5 studies, 253 participants, low-quality evidence) compared to control immediately after the intervention but the effect did not persist at four to six months. There was no evidence of improvements in depression immediately after HBMS (MD of HADS -1.36, 95% CI -2.94 to 0.22, 4 studies, 213 participants, low-quality evidence) or at follow-up. HBMS programmes may also decrease fatigue (MD -1.11, 95% CI -1.78 to -0.45, 3 studies, 127 participants; low-quality evidence) and insomnia (MD -1.81, 95% CI -3.34 to -0.27, 3 studies, 185 participants, low-quality evidence).None of the included studies reported service needs and utilisation and cost of care, and therefore the effect of HBMS programmes on healthcare utilisation and cost is unknown. Due to the variations in assessment methods of adherence among the eight studies, we could not combine the results for meta-analysis. We synthesised the results narratively, with the reported adherence rates of 58% to 100%. AUTHORS' CONCLUSIONS The results of this systematic review and meta-analysis revealed that HBMS programmes in breast cancer survivors appear to have a short-term beneficial effect of improving breast cancer-specific quality of life and global quality of life as measured by FACT-B and EORTC-C30, respectively. In addition, HBMS programmes are associated with a reduction in anxiety, fatigue and insomnia immediately after the intervention. We assessed the quality of evidence across studies as moderate for some outcomes, meaning that we are fairly confident about the results, while we assessed other outcomes as being low-quality, meaning that we are uncertain about the result."
2019,Breast Cancer Diagnosis with Transfer Learning and Global Pooling,"Breast cancer is one of the most common causes of cancer-related death in women worldwide. Early and accurate diagnosis of breast cancer may significantly increase the survival rate of patients. In this study, we aim to develop a fully automatic, deep learning-based, method using descriptor features extracted by Deep Convolutional Neural Network (DCNN) models and pooling operation for the classification of hematoxylin and eosin stain (H#E) histological breast cancer images provided as a part of the International Conference on Image Analysis and Recognition (ICIAR) 2018 Grand Challenge on BreAst Cancer Histology (BACH) Images. Different data augmentation methods are applied to optimize the DCNN performance. We also investigated the efficacy of different stain normalization methods as a pre-processing step. The proposed network architecture using a pre-trained Xception model yields 92.50% average classification accuracy."
2019,Facile synthesis of ZnMn2O4@rGO microspheres for ultrasensitive electrochemical detection of hydrogen peroxide from human breast cancer cells.,"Mixed transition-metal oxides have witnessed increasing attention in catalysts and electrocatalysts. Herein, reduced graphene oxide wrapped ZnMn2O4 microspheres (ZnMn2O4@rGO) were facilely synthesized through solvothermal technique. The microstructure and morphology of ZnMn2O4@rGO microspheres were analyzed under Raman, X-ray photoelectron, X-ray diffraction, energy-dispersive spectroscopy and scanning electron microscopy. The synthesized ZnMn2O4@rGO was employed as excellent electrocatalysts for the reduction of hydrogen peroxide (H2O2). The ZnMn2O4@rGO modiﬁed glassy carbon electrode (ZnMn2O4@rGO/GCE) exhibited a linear detection to H2O2 in a wide concentration range of 0.03-6000 μM with detection limit of 0.012 μM. The biosensor was evaluated to determine H2O2 secreted by human breast cancer cells (MCF-7), indicating its promising applications in physiology and diagnosis."
2019,Deep Learning Applications in Chest Radiography and Computed Tomography: Current State of the Art,"Deep learning is a genre of machine learning that allows computational models to learn representations of data with multiple levels of abstraction using numerous processing layers. A distinctive feature of deep learning, compared with conventional machine learning methods, is that it can generate appropriate models for tasks directly from the raw data, removing the need for human-led feature extraction. Medical images are particularly suited for deep learning applications. Deep learning techniques have already demonstrated high performance in the detection of diabetic retinopathy on fundoscopic images and metastatic breast cancer cells on pathologic images. In radiology, deep learning has the opportunity to provide improved accuracy of image interpretation and diagnosis. Many groups are exploring the possibility of using deep learning–based applications to solve unmet clinical needs. In chest imaging, there has been a large effort to develop and apply computer-aided detection systems for the detection of lung nodules on chest radiographs and chest computed tomography. The essential limitation to computer-aided detection is an inability to learn from new information. To overcome these deficiencies, many groups have turned to deep learning approaches with promising results. In addition to nodule detection, interstitial lung disease recognition, lesion segmentation, diagnosis and patient outcomes have been addressed by deep learning approaches. The purpose of this review article was to cover the current state of the art for deep learning approaches and its limitations, and some of the potential impact on the field of radiology, with specific reference to chest imaging."
2017,An electrochemical method for the detection of disease-specific exosomes,"Exosomes are cell-derived vesicles secreted by both normal and cancerous cells into the extracellular matrix and in blood circulation. Tumor-derived exosomes have attracted increasing attention in noninvasive cancer diagnosis and prognosis. However, their effective capture and specific detection pose significant technical challenges. Current detection methods largely fail to quantify the tumor-derived exosomes present in the total (bulk) exosome population derived from body fluids of cancer patients. In this proof-of-concept study, we report an electrochemical detection method to directly quantify the disease-specific exosomes present in cell culture media. The assay has a two-step design, where bulk exosome populations are initially captured by using a generic antibody (i.e. tetraspanin biomarker, CD9). Subsequent detection of the cancer-specific exosomes within the captured exosomes was carried out by using a cancer-specific antibody, in this case, a human epidermal growth factor receptor 2 (HER-2) antibody, allowing quantification of HER2-postive, breast-cancer-derived exosomes. This approach exhibits excellent specificity for HER-2(+) BT-474 cell-derived exosomes (detection limit, 4.7×10 exosomes μL) with a relative standard deviation of <4.9 % (n=3). We suggest that this simple and inexpensive electrochemical method could be an alternative for the quantification of exosome subpopulations in specific disease settings for future clinical bioassays."
2014,Influence of Lifestyle Factors on Breast Cancer Risk,"Breast Cancer (BC) is a life-changing event. Compared to other malignancies in women, BC has received considerably more public attention. Despite improved neoadjuvant, adjuvant, and palliative treatment strategies for each characteristic molecular BC subtype, recommendations for evidence-based preventive strategies for BC treatment are not given equivalent attention. This may be partly due to the fact that high-quality long-term prevention studies are still difficult to carry out and are thus underrepresented in international studies. The aim of this review is to discuss the most relevant lifestyle factors associated with BC and to identify and discuss the evidence supporting practical prevention strategies that can be used in everyday clinical practice."
2020,Automated Breast Cancer Detection in Digital Mammograms of Various Densities via Deep Learning,"Mammography plays an important role in screening breast cancer among females, and artificial intelligence has enabled the automated detection of diseases on medical images. This study aimed to develop a deep learning model detecting breast cancer in digital mammograms of various densities and to evaluate the model performance compared to previous studies. From 1501 subjects who underwent digital mammography between February 2007 and May 2015, craniocaudal and mediolateral view mammograms were included and concatenated for each breast, ultimately producing 3002 merged images. Two convolutional neural networks were trained to detect any malignant lesion on the merged images. The performances were tested using 301 merged images from 284 subjects and compared to a meta-analysis including 12 previous deep learning studies. The mean area under the receiver-operating characteristic curve (AUC) for detecting breast cancer in each merged mammogram was 0.952 ± 0.005 by DenseNet-169 and 0.954 ± 0.020 by EfficientNet-B5, respectively. The performance for malignancy detection decreased as breast density increased (density A, mean AUC = 0.984 vs. density D, mean AUC = 0.902 by DenseNet-169). When patients’ age was used as a covariate for malignancy detection, the performance showed little change (mean AUC, 0.953 ± 0.005). The mean sensitivity and specificity of the DenseNet-169 (87 and 88%, respectively) surpassed the mean values (81 and 82%, respectively) obtained in a meta-analysis. Deep learning would work efficiently in screening breast cancer in digital mammograms of various densities, which could be maximized in breasts with lower parenchyma density."
2015,AN APPROACH FOR BREAST CANCER DIAGNOSIS CLASSIFICATION USING NEURAL NETWORK,"Artificial neural network has been widely used in various fields as an intelligent tool in recent years, such as artificial intelligence, pattern recognition, medical diagnosis, machine learning and so on. The classification of breast cancer is a medical application that poses a great challenge for researchers and scientists. Recently, the neural network has become a popular tool in the classification of cancer datasets. Classification is one of the most active research and application areas of neural networks. Major disadvantages of artificial neural network (ANN) classifier are due to its sluggish convergence and always being trapped at the local minima. To overcome this problem, differential evolution algorithm (DE) has been used to determine optimal value or near optimal value for ANN parameters. DE has been applied successfully to improve ANN learning from previous studies. However, there are still some issues on DE approach such as longer training time and lower classification accuracy. To overcome these problems, island based model has been proposed in this system. The aim of our study is to propose an approach for breast cancer distinguishing between different classes of breast cancer. This approach is based on the Wisconsin Diagnostic and Prognostic Breast Cancer and the classification of different types of breast cancer datasets. The proposed system implements the island-based training method to be better accuracy and less training time by using and analysing between two different migration topologies."
